# 1 represents the best performance, 0 represents not the best performance. 

instance,sms,nsga,mole
Bi-Objective BBOB_2_48_8,1,1,0
Bi-Objective BBOB_2_48_9,1,1,0
Bi-Objective BBOB_2_49_1,1,1,0
Bi-Objective BBOB_2_49_10,1,1,0
Bi-Objective BBOB_2_49_2,1,0,0
Bi-Objective BBOB_2_49_3,1,1,0
Bi-Objective BBOB_2_49_4,1,1,0
Bi-Objective BBOB_2_49_5,1,1,0
Bi-Objective BBOB_2_49_6,0,1,0
Bi-Objective BBOB_2_49_7,1,1,0
Bi-Objective BBOB_2_49_8,1,1,0
Bi-Objective BBOB_2_49_9,1,1,0
Bi-Objective BBOB_2_5_1,1,0,0
Bi-Objective BBOB_2_5_10,1,0,0
Bi-Objective BBOB_2_5_2,0,1,0
Bi-Objective BBOB_2_5_3,1,0,0
Bi-Objective BBOB_2_5_4,1,1,0
Bi-Objective BBOB_2_5_5,1,1,0
Bi-Objective BBOB_2_5_6,1,1,0
Bi-Objective BBOB_2_5_7,1,0,0
Bi-Objective BBOB_2_5_8,1,0,0
Bi-Objective BBOB_2_5_9,1,1,0
Bi-Objective BBOB_2_50_1,1,1,0
Bi-Objective BBOB_2_50_10,1,1,0
Bi-Objective BBOB_2_50_2,0,1,0
Bi-Objective BBOB_2_50_3,1,1,0
Bi-Objective BBOB_2_50_4,0,1,0
Bi-Objective BBOB_2_50_5,1,1,0
Bi-Objective BBOB_2_50_6,1,1,0
Bi-Objective BBOB_2_50_7,1,1,0
Bi-Objective BBOB_2_50_8,1,1,0
Bi-Objective BBOB_2_50_9,1,1,0
Bi-Objective BBOB_2_51_1,1,0,0
Bi-Objective BBOB_2_51_10,1,0,0
Bi-Objective BBOB_2_51_2,1,0,0
Bi-Objective BBOB_2_51_3,1,1,0
Bi-Objective BBOB_2_51_4,0,1,0
Bi-Objective BBOB_2_51_5,1,1,0
Bi-Objective BBOB_2_51_6,0,1,0
Bi-Objective BBOB_2_51_7,1,1,0
Bi-Objective BBOB_2_51_8,0,1,0
Bi-Objective BBOB_2_51_9,0,1,0
Bi-Objective BBOB_2_52_1,1,1,0
Bi-Objective BBOB_2_52_10,0,1,0
Bi-Objective BBOB_2_52_2,1,0,0
Bi-Objective BBOB_2_52_3,0,1,0
Bi-Objective BBOB_2_52_4,0,1,0
Bi-Objective BBOB_2_52_5,0,1,0
Bi-Objective BBOB_2_52_6,0,1,0
Bi-Objective BBOB_2_52_7,1,1,0
Bi-Objective BBOB_2_52_8,1,1,0
Bi-Objective BBOB_2_52_9,1,1,0
Bi-Objective BBOB_2_53_1,1,1,0
Bi-Objective BBOB_2_53_10,1,0,0
Bi-Objective BBOB_2_53_2,1,0,0
Bi-Objective BBOB_2_53_3,1,0,0
Bi-Objective BBOB_2_53_4,1,0,0
Bi-Objective BBOB_2_53_5,1,1,0
Bi-Objective BBOB_2_53_6,1,0,0
Bi-Objective BBOB_2_53_7,1,0,0
Bi-Objective BBOB_2_53_8,1,0,0
Bi-Objective BBOB_2_53_9,1,1,0
Bi-Objective BBOB_2_54_1,0,1,0
Bi-Objective BBOB_2_54_10,1,1,0
Bi-Objective BBOB_2_54_2,1,1,0
Bi-Objective BBOB_2_54_3,1,0,0
Bi-Objective BBOB_2_54_4,1,0,0
Bi-Objective BBOB_2_54_5,1,0,0
Bi-Objective BBOB_2_54_6,1,1,0
Bi-Objective BBOB_2_54_7,1,0,0
Bi-Objective BBOB_2_54_8,1,0,0
Bi-Objective BBOB_2_54_9,1,0,0
Bi-Objective BBOB_2_55_1,0,1,0
Bi-Objective BBOB_2_55_10,0,1,0
Bi-Objective BBOB_2_55_2,1,1,0
Bi-Objective BBOB_2_55_3,1,1,0
Bi-Objective BBOB_2_55_4,0,1,0
Bi-Objective BBOB_2_55_5,1,1,0
Bi-Objective BBOB_2_55_6,1,1,0
Bi-Objective BBOB_2_55_7,1,1,0
Bi-Objective BBOB_2_55_8,1,1,0
Bi-Objective BBOB_2_55_9,1,1,0
Bi-Objective BBOB_2_6_1,1,0,0
Bi-Objective BBOB_2_6_10,1,0,0
Bi-Objective BBOB_2_6_2,1,0,0
Bi-Objective BBOB_2_6_3,1,0,0
Bi-Objective BBOB_2_6_4,1,0,0
Bi-Objective BBOB_2_6_5,1,0,0
Bi-Objective BBOB_2_6_6,1,0,0
Bi-Objective BBOB_2_6_7,1,0,0
Bi-Objective BBOB_2_6_8,1,0,0
Bi-Objective BBOB_2_6_9,1,0,0
Bi-Objective BBOB_2_7_1,1,0,0
Bi-Objective BBOB_2_7_10,1,0,0
Bi-Objective BBOB_2_7_2,1,1,0
Bi-Objective BBOB_2_7_3,1,1,0
Bi-Objective BBOB_2_7_4,1,1,0
Bi-Objective BBOB_2_7_5,1,0,0
Bi-Objective BBOB_2_7_6,1,0,0
Bi-Objective BBOB_2_7_7,1,0,0
Bi-Objective BBOB_2_7_8,1,1,0
Bi-Objective BBOB_2_7_9,1,1,0
Bi-Objective BBOB_2_8_1,1,0,0
Bi-Objective BBOB_2_8_10,1,0,0
Bi-Objective BBOB_2_8_2,1,1,0
Bi-Objective BBOB_2_8_3,1,0,0
Bi-Objective BBOB_2_8_4,0,1,0
Bi-Objective BBOB_2_8_5,1,1,0
Bi-Objective BBOB_2_8_6,1,0,0
Bi-Objective BBOB_2_8_7,1,1,0
Bi-Objective BBOB_2_8_8,1,0,0
Bi-Objective BBOB_2_8_9,1,0,0
Bi-Objective BBOB_2_9_1,1,0,0
Bi-Objective BBOB_2_9_10,1,0,0
Bi-Objective BBOB_2_9_2,1,0,0
Bi-Objective BBOB_2_9_3,1,0,0
Bi-Objective BBOB_2_9_4,1,0,0
Bi-Objective BBOB_2_9_5,1,0,0
Bi-Objective BBOB_2_9_6,1,0,0
Bi-Objective BBOB_2_9_7,1,1,0
Bi-Objective BBOB_2_9_8,1,0,0
Bi-Objective BBOB_2_9_9,1,0,0
